Id,Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Number_Of_Reviews,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,Image_Url,Host_id,Host_name,Host_location,Country,Country_code,Longitude,Latitude,Availability_365,Review_Scores
30511700,Quiet & Gated Split-level guest unit,Apartment,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,2,1.0,1.0,1,90.0,0.0,50.0,10.0,1.0,https://a0.muscache.com/im/pictures/3fe31e73-b6bd-43f3-ab03-8bb66086d116.jpg?aki_policy=large,144851356,Dennis,US,United States,US,-155.99225,19.72261,175,100.0
30515970,Luxury 2 bed 2 bath 1 parking in Allure Waikiki,Condominium,Entire home/apt,Real Bed,30,1125,strict_14_with_grace_period,4,2.0,2.0,0,160.0,1000.0,350.0,10.0,3.0,https://a0.muscache.com/im/pictures/9aed7ae3-23d7-4156-8341-e2f33dfe063b.jpg?aki_policy=large,92506104,Jane,US,United States,US,-157.83375,21.28704,33,0.0
30518067,Cozy Apt Downtown Sleeps 3ppl 12b1 MTR downstairs,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3,0.0,1.0,6,385.0,785.0,118.0,0.0,1.0,https://a0.muscache.com/im/pictures/86b6971a-eeae-40d7-989e-d16a687f2598.jpg?aki_policy=large,21591327,Maria,Hong Kong,Hong Kong,HK,114.17019,22.30409,333,90.0
30520863,Günay Otel,Hotel,Private room,Real Bed,1,35,flexible,2,1.0,1.0,0,501.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/2a4a7761-06ba-403a-9506-919e1daf9ef3.jpg?aki_policy=large,85694804,Mustafa,"Ağva Merkez Mahallesi, İstanbul, Turkey",Turkey,TR,29.84968,41.13826,365,0.0
30522015,Casa Cosi - Gotico,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,6,3.0,5.0,1,160.0,200.0,90.0,0.0,1.0,https://a0.muscache.com/im/pictures/a1b7ee76-f731-42b6-99f9-5de2bfca6c54.jpg?aki_policy=large,35936647,Casa Cosi,"Barcelona, Catalonia, Spain",Spain,ES,2.17448,41.3826,265,80.0
305245,BEAUTIFUL 2-BEDROOM TOWNHOUSE NYC,Apartment,Entire home/apt,Real Bed,30,180,strict_14_with_grace_period,9,2.0,3.0,9,350.0,500.0,150.0,25.0,7.0,https://a0.muscache.com/im/pictures/33289410/273d56ed_original.jpg?aki_policy=large,1556814,Tammy,California,United States,US,-73.94603,40.80604,231,90.0
30528140,淡雅2-3人房間,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3,1.0,1.0,7,699.0,800.0,120.0,80.0,2.0,https://a0.muscache.com/im/pictures/2866dc76-7212-4de9-8b02-ba0de420c24f.jpg?aki_policy=large,217896207,磚,HK,Hong Kong,HK,114.16998,22.30965,76,94.0
30531901,Apartamento Aconchegante Próximo ao Metrô,Apartment,Entire home/apt,Real Bed,1,30,flexible,4,2.0,3.0,2,216.0,0.0,50.0,30.0,2.0,https://a0.muscache.com/im/pictures/400b292e-8a04-448d-ac56-fd4bfda47087.jpg?aki_policy=large,229100069,Maria,BR,Brazil,BR,-43.17736559344502,-22.934892525536696,46,100.0
30533458,Penthouse Downtown with private indoor parking,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,6,2.0,2.0,9,127.0,0.0,40.0,30.0,2.0,https://a0.muscache.com/im/pictures/518f9a7f-48cb-416e-8c19-8aa1b2612826.jpg?aki_policy=large,41293936,Alex,"Montreal, Québec, Canada",Canada,CA,-73.56911,45.51214,6,100.0
30537041,Apt moderno com ótima localização em Copacabana.,Apartment,Entire home/apt,Real Bed,4,7,strict_14_with_grace_period,4,0.0,1.0,1,500.0,0.0,150.0,0.0,1.0,https://a0.muscache.com/im/pictures/ea2e99c3-e584-4588-9330-4830363a6eb7.jpg?aki_policy=large,91291223,Gabryel,BR,Brazil,BR,-43.187856507045566,-22.966675033550814,79,100.0
30538139,Freshly renovated-3 bedroom-heart of MTL-parking!!,Apartment,Entire home/apt,Real Bed,1,1125,moderate,6,3.0,3.0,12,95.0,0.0,35.0,0.0,1.0,https://a0.muscache.com/im/pictures/4a01d524-2e7a-4571-886e-5f37b2461f4f.jpg?aki_policy=large,69003475,Marco & Mélanie,"Montreal, Quebec, Canada",Canada,CA,-73.54302,45.53885,51,87.0
